qué	k e+
confort	k o ng f o rf t
cerrando	T e r a n d o
consolidado	k o ng s o l i D a D o
confianza	k o n f j a n T a
mutua	m u t w a
acercando	a s e rf k a n d o
alizando	a l i s a n d o
cubri	k u b rf i
éndolo	e+ n d o l o
manto	m a n t o
individuales	i n d i b i D w a l e s
compartida	k o m p a rf t i D a
falsi	f a l s i
ficador	f i k a D o rf
pavos	p a b o s
emplear	e m p l e a rf
capítulo	k a p i+ t u l o
encaja	e ng k a x a
mirado	m i rf a o
íntimo	i+ n t i m o
numerosos	n u m e rf o s o s
triste	t rf i s t e
relevo	r e l e b o
natur	n a t u rf
gy	G j
end	e ng
energético	e n e rf x e+ t i k o
imagino	i m a x i n o
natural	n a t u rf a l
avisar	a b i s a rf
túnel	t u+ n e l
buscas	b u s k a s
irte	i rf t e
compras	k o m p rf a s
eternidad	e t e rf n i D a
quillas	k i L a s
necesarias	n e s e s a rf j a s
potente	p o t e n t e
irrump	i r u m p
autor	aU t o rf
espalda	e s p a l d a
definitivo	d e f i n i t i b o
unen	u n e ng
interac	i n t e rf a k
gastar	G a s t a rf
empiezas	e m p j e s a s
puntas	p u n t a s
hueco	w e k o
fund	f u ng
dormida	d o rf m i D a
tanta	t a n t a
ándome	a+ n d o m e
participen	p a rf t i s i p e ng
plenamente	p l e n a m e n t e
desafíos	d e s a f i+ o s
requerirá	r e k e rf i rf a+
colectivo	k o l e k t i b o
localizar	l o k a l i T a rf
minist	m i n i s t
ment	m e n t
colapso	k o l a p s o
fresca	f rf e s k a
rodeada	r o D e a D a
dica	d i k a
abur	a b u rf
rimi	r i m i
discusión	d i s k u s j o+ ng
proporcionará	p rf o p o rf T j o n a rf a+
aprobar	a p rf o b a rf
sacri	s a k rf i
legio	l e x j o
mul	m u l
sobrevivir	s o b rf e b i b i rf
anunciado	a n u n T j a o
proporcionan	p rf o p o rf s j o n a ng
cortos	k o rf t o s
ete	e t e
matarte	m a t a rf t e
lluvias	L u b j a s
torre	t o r e
ciales	T j a l e s
sensa	s e n s a
hiciste	i s i s t e
bienvenidos	b j e m V e n i D o s
ade	a D e
mia	m j a
utilizado	u t i l i s a D o
mé	m e+
trica	t rf i k a
comunicar	k o m u n i k a rf
fronteras	f rf o n t e rf a s
inventó	i m V e n t o+
ur	u rf
árbitro	a+ rf b i t rf o
separa	s e p a rf a
xo	s o
mencionan	m e ng s j o n a ng
israel	i s r a e l
meditación	m e D i t a s j o+ ng
mala	m a l a
quías	k i+ a s
dem	d e m
uestra	w e s t rf a
aspirantes	a s p i rf a n t e s
cálido	k a+ l i D o
mu	m u
dena	d e n a
refugi	r e f u x i
acudir	a k u D i rf
entender	e n t e n d e rf
entenderlo	e n t e n d e rf l o
desesperado	d e s e s p e rf a D o
recompensa	r e k o m p e n s a
logre	l o G rf e
concebir	k o n T e b i rf
dientes	d j e n t e s
estupen	e s t u p e ng
mamente	m a m e n t e
patada	p a t a D a
trasero	t rf a s e rf o
bonos	b o n o s
pendientes	p e n d j e n t e s
total	t o t a l
mostraron	m o s t rf a rf o ng
contrata	k o n t rf a t a
comunicación	k o m u n i k a s j o+ ng
monjas	m o ng x a s
clausura	k l aU s u rf a
ansioso	a ng s j o s o
suponía	s u p o n i+ a
inteligente	i n t e l i x e n t e
alt	a l t
ier	j e rf
reaccion	r e a s j o ng
discusiones	d i s k u s j o n e s
serían	s e rf i+ a ng
títulos	t i+ t u l o s
deuda	d eU D a
comunes	k o m u n e s
miembros	m j e m b rf o s
lópez	l o+ p e T
participan	p a rf t i s i p a ng
abogada	a b o G a D a
detener	d e t e n e rf
tengas	t e n g a s
oxi	o s i
persecución	p e rf s e k u T j o+ n
compartido	k o m p a rf t i D o
deshacerse	d e s a T e rf s e
aut	aU t
ture	t u rf e
extra	e k s t rf a
íble	i+ b l e
funda	f u n d a
acerque	a s e rf k e
recibe	r e s i b e
localización	l o k a l i T a T j o+ n
itiner	i t i n e rf
perdóneme	p e rf D o+ n e m e
ruinas	r w i n a s
absorción	a b s o rf s j o+ ng
uertos	w e rf t o s
tea	t e a
insegu	i ng s e G u
contaré	k o n t a rf e+
uro	u rf o
opuesto	o p w e s t o
causan	k aU s a ng
bienestar	b j e n e s t a rf
intercambio	i n t e rf k a m b j o
estrecho	e s t rf e tS o
nacional	n a s j o n a l
vende	b e n d e
espectadores	e s p e k t a D o rf e s
sienta	s j e n t a
barata	b a rf a t a
gonzález	G o n T a+ l e T
satisfacer	s a t i s f a T e rf
informa	i ng f o rf m a
pormen	p o rf m e n
zada	s a D a
ingeniería	i n x e n j e rf i+ a
rom	r o m
pi	p i
ojo	o x o
bue	b w e
camar	k a m a rf
ote	o t e
andas	a n d a s
terminan	t e rf m i n a ng
comunicarse	k o m u n i k a rf s e
disparar	d i s p a rf a rf
toalla	t o a L a
desperté	d e s p e rf t e+
atrae	a t rf a e
inscrito	i ng s k rf i t o
generar	x e n e rf a rf
indemnización	i n d e m n i s a s j o+ ng
puntu	p u n t u
instal	i ng s t a l
feria	f e rf j a
simp	s i m p
reúne	r e u+ n e
inten	i n t e ng
historiadores	i s t o rf j a D o rf e s
catedrá	k a t e D rf a+
hisp	i s p
anista	a n i s t a
etc	e t s e+ t e rf a
vuestra	b w e s t rf a
exponer	e s p o n e rf
calefacción	k a l e f a s j o+ n
gira	x i rf a
tronco	t rf o n k o
ferrocarriles	f e r o k a r i l e s
entere	e n t e rf e
miren	m i rf e ng
siguiera	s i g j e rf a
ciego	s j e G o
explicado	e s p l i k a D o
querían	k e rf i+ a ng
habido	a b i D o
quero	k e rf o
msterdam	m s t e rf D a m
pastel	p a s t e l
bi	b i
zco	s k o
progreso	p rf o G rf e s o
áreas	a+ rf e a s
ficación	f i k a T j o+ n
ayudes	aI u D e s
tecnología	t e k n o l o x i+ a
pudiera	p u D j e rf a
aloj	a l o x
matrícula	m a t rf i+ k u l a
exacto	e s a k t o
much	m u tS
misterio	m i s t e rf j o
horario	o rf a rf j o
iro	i rf o
listas	l i s t a s
detenida	d e t e n i D a
bauti	b aU t i
afian	a f j a ng
extremo	e k s t rf e m o
atacan	a t a k a ng
indign	i n d i G n
zio	s j o
diversidad	d i b e rf s i D a
post	p o s t
grado	G rf a D o
for	f o rf
llegamos	L e G a m o s
preocupa	p rf e o k u p a
quieras	k j e rf a s
cariño	k a rf i n~ o
delic	d e l i k
perfección	p e rf f e k s j o+ ng
ei	eI
impro	i m p rf o
cede	T e D e
inmor	i ng m o rf
detallado	d e t a L a o
presidentes	p rf e s i D e n t e s
alcance	a l k a n T e
esencial	e s e ng s j a l
olvidé	o l b i D e+
lección	l e s j o+ n
rigor	r i G o rf
viajar	b j a x a rf
pol	p o l
emi	e m i
adver	a D b e rf
político	p o l i+ t i k o
estudiantil	e s t u D j a n t i l
sigo	s i G o
rar	r a rf
emer	e m e rf
preocupes	p rf e o k u p e s
intenso	i n t e n s o
siendo	s j e n d o
extraordinaria	e k s t rf a o rf D i n a rf j a
competitivo	k o m p e t i t i b o
infancia	i n f a n T j a
considerado	k o ng s i D e rf a D o
lucha	l u tS a
comerciante	k o m e rf s j a n t e
cié	s j e+
amor	a m o rf
tigu	t i G u
resplan	r e s p l a ng
cón	k o+ ng
eman	e m a ng
cip	T i p
resultan	r e s u l t a ng
quesa	k e s a
océano	o T e+ a n o
productiva	p rf o D u k t i b a
anuncia	a n u n T j a
locu	l o k u
despertó	d e s p e rf t o+
oscuras	o s k u rf a s
espectáculos	e s p e k t a+ k u l o s
privilegio	p rf i b i l e x j o
ilas	i l a s
juzgado	x u s G a D o
flex	f l e k s
ili	i l i
jaban	x a b a ng
expuesto	e k s p w e s t o
darle	d a rf l e
cambiando	k a m b j a n d o
inad	i n a
vertido	b e rf t i D o
rob	r o b
llevarte	L e b a rf t e
alejado	a l e x a D o
tranquilidad	t rf a n k i l i D a
pregunte	p rf e G u n t e
recibido	r e s i b i D o
atentamente	a t e n t a m e n t e
despreci	d e s p rf e T i
luchan	l u tS a ng
llenar	L e n a rf
nevera	n e b e rf a
ayudarme	aI u D a rf m e
enseñ	e ng s e n~
vocabulario	b o k a b u l a rf j o
moscú	m o s k u+
ueves	w e b e s
representación	r e p rf e s e n t a s j o+ ng
ice	i s e
referentes	r e f e rf e n t e s
exámenes	e s a+ m e n e s
insistir	i ng s i s t i rf
tardar	t a rf D a rf
prometo	p rf o m e t o
botella	b o t e L a
enteras	e n t e rf a s
paisaje	p aI s a x e
probablemente	p rf o b a b l e m e n t e
log	l o G
raron	r a rf o ng
reconciliación	r e k o ng s i l j a s j o+ ng
separado	s e p a rf a D o
nór	n o+ rf
rios	r j o s
guen	g e ng
sabéis	s a b e+ i s
chinos	tS i n o s
hazlo	a T l o
pad	p a
ecemos	e s e m o s
enfermedades	e ng f e rf m e D a D e s
medicinas	m e D i s i n a s
servidores	s e rf b i D o rf e s
impresión	i m p rf e s j o+ ng
tel	t e l
fósi	f o+ s i
ayuden	a L u D e ng
aliviar	a l i b j a rf
escasez	e s k a s e s
faciliten	f a s i l i t e ng
reanudación	r e a n u D a s j o+ ng
masaje	m a s a x e
proces	p rf o T e s
gorra	G o r a
robar	r o b a rf
hacerte	a s e rf t e
daño	d a n~ o
comodidad	k o m o D i D a
ortun	o rf t u n
desafortun	d e s a f o rf t u n
contactar	k o n t a k t a rf
lamenta	l a m e n t a
deno	d e n o
recor	r e k o rf
reh	r e
aga	a G a
intenciones	i n t e n T j o n e s
cocin	k o T i n
sirvientes	s i rf b j e n t e s
instru	i n s t rf u
vo	b o
detenido	d e t e n i D o
calent	k a l e n t
muerta	m w e rf t a
biblia	b i b l j a
quitado	k i t a D o
cuadro	k w a D rf o
queja	k e x a
fondos	f o n d o s
bel	b e l
hayan	a L a ng
superficie	s u p e rf f i T j e
hectáreas	e k t a+ rf e a s
sal	s a l
daré	d a rf e+
quieran	k j e rf a ng
polonia	p o l o n j a
tratado	t rf a t a o
belga	b e l G a
holandés	o l a n d e+ s
críticas	k rf i+ t i k a s
entrevistas	e n t rf e b i s t a s
pones	p o n e s
volverá	b o l b e rf a+
establecidos	e s t a b l e s i D o s
evolucionado	e b o l u T j o n a o
recuperación	r e k u p e rf a s j o+ ng
reflejado	r e f l e x a o
políticas	p o l i+ t i k a s
públicas	p u+ b l i k a s
circunstancias	s i rf k u ng s t a ng s j a s
civilización	T i b i l i T a T j o+ n
móviles	m o+ b i l e s
casco	k a s k o
disculpe	d i s k u l p e
molestia	m o l e s t j a
estaríamos	e s t a rf i+ a m o s
encantado	e ng k a n t a D o
tener	t e n e rf
abord	a b o rf
tieron	t j e rf o ng
ajusta	a x u s t a
aspir	a s p i rf
eche	e tS e
dispone	d i s p o n e
ilimitado	i l i m i t a D o
pretende	p rf e t e n d e
abus	a b u s
detección	d e t e k s j o+ ng
fraude	f rf aU D e
olo	o l o
cado	k a o
continúa	k o n t i n u+ a
luchando	l u tS a n d o
trataba	t rf a t a b a
avanzado	a b a n s a D o
reciban	r e s i b a ng
esti	e s t i
pendi	p e n d i
proveniente	p rf o b e n j e n t e
eléctrico	e l e+ k t rf i k o
prolongar	p rf o l o ng g a rf
ocurrirá	o k u r i rf a+
perfil	p e rf f i l
donantes	d o n a n t e s
vivos	b i b o s
pasando	p a s a n d o
anteriores	a n t e rf j o rf e s
sum	s u m
ilust	i l u s t
aní	a n i+
bal	b a l
crónicas	k rf o+ n i k a s
hecha	e tS a
surgió	s u rf x j o+
conversación	k o m V e rf s a T j o+ n
considerando	k o ng s i D e rf a n d o
conservación	k o ng s e rf b a s j o+ ng
muchacho	m u tS a tS o
malestar	m a l e s t a rf
valen	b a l e ng
centavo	T e n t a b o
queréis	k e rf e+ i s
conté	k o n t e+
mali	m a l i
gna	G n a
televisor	t e l e b i s o rf
incorporado	i ng k o rf p o rf a D o
liza	l i s a
preste	p rf e s t e
frustración	f rf u s t rf a s j o+ ng
convers	k o ng V e rf s
engañado	e ng g a n~ a D o
despropor	d e s p rf o p o rf
sugiere	s u x j e rf e
desigualdad	d e s i G w a l d a
pasajes	p a s a x e s
visión	b i s j o+ ng
pudimos	p u D i m o s
deudas	d eU D a s
cortar	k o rf t a rf
suministros	s u m i n i s t rf o s
licio	l i T j o
entre	e n t rf e
gué	g e+
inhumanos	i n u m a n o s
mentes	m e n t e s
tarifas	t a rf i f a s
descuentos	d e s k w e n t o s
dejara	d e x a rf a
bor	b o rf
pesada	p e s a D a
rió	r j o+
ez	e s
vís	b i+ s
cera	s e rf a
tradu	t rf a D u
barón	b a rf o+ ng
expresado	e k s p rf e s a D o
novio	n o b j o
relojes	r e l o x e s
inteligentes	i n t e l i x e n t e s
hetero	e t e rf o
ral	r a l
eas	e a s
especul	e s p e k u l
globos	G l o b o s
sonda	s o n d a
adaptar	a D a p t a rf
vicepresidente	b i s e p rf e s i D e n t e
supervisión	s u p e rf b i s j o+ ng
activos	a k t i b o s
hong	o n g
bin	b i ng
izó	i T o+
inac	i n a k
tivas	t i b a s
gravemente	G rf a b e m e n t e
afectadas	a f e k t a D a s
pieles	p j e l e s
explota	e k s p l o t a
ingresar	i ng g rf e s a rf
entra	e n t rf a
fea	f e a
mensajes	m e ng s a x e s
hablado	a b l a D o
et	e t
odo	o D o
mantén	m a n t e+ ng
apariencia	a p a rf j e ng s j a
guar	G w a rf
intelectual	i n t e l e k t w a l
pañ	p a n~
disposiciones	d i s p o s i T j o n e s
divertir	d i b e rf t i rf
ll	L
préstamo	p rf e+ s t a m o
sur	s u rf
hun	x u ng
agregado	a G rf e G a o
escritorio	e s k rf i t o rf j o
fran	f rf a ng
aguanta	a G w a n t a
intentamos	i n t e n t a m o s
harán	a rf a+ ng
tarda	t a rf D a
secciones	s e k s j o n e s
tomaba	t o m a b a
desnudo	d e z n u D o
billete	b i L e t e
by	b aI
exactitud	e s a k t i t u
socios	s o T j o s
investi	i ng V e s t i
sánchez	s a+ ng tS e s
volvamos	b o l b a m o s
decía	d e T i+ a
relaj	r e l a x
piscina	p i s T i n a
libres	l i b rf e s
sentarme	s e n t a rf m e
empezado	e m p e T a o
escapar	e s k a p a rf
celosa	T e l o s a
oir	oI rf
concedido	k o n T e D i D o
tien	t j e n
intensidad	i n t e n s i D a
repetición	r e p e t i s j o+ ng
anuales	a n w a l e s
abriendo	a b rf j e n d o
guardan	G w a rf D a ng
protocolos	p rf o t o k o l o s
dictado	d i k t a D o
sanitarias	s a n i t a rf j a s
bay	b aI
oneta	o n e t a
acércate	a T e+ rf k a t e
dorada	d o rf a D a
halla	a L a
alab	a l a b
anzas	a n s a s
sostenibilidad	s o s t e n i b i l i D a
registros	r e x i s t rf o s
sali	s a l i
entes	e n t e s
galerías	G a l e rf i+ a s
galería	G a l e rf i+ a
úc	u+ k
pilotos	p i l o t o s
portavoz	p o rf t a b o s
adolescentes	a D o l e s T e n t e s
ple	p l e
jos	x o s
ilusión	i l u s j o+ ng
entusiasmo	e n t u s j a z m o
dijera	d i x e rf a
émico	e+ m i k o
indiscu	i n d i s k u
tible	t i b l e
accesos	a k s e s o s
utiliz	u t i l i T
profesora	p rf o f e s o rf a
alumnos	a l u m n o s
hicimos	i s i m o s
camas	k a m a s
ordenada	o rf D e n a D a
conv	k o m V
ali	a l i
dará	d a rf a+
aprobados	a p rf o b a D o s
evolución	e b o l u T j o+ n
frentes	f rf e n t e s
hierro	j e r o
discutir	d i s k u t i rf
privado	p rf i b a o
coge	k o x e
potencia	p o t e n T j a
cient	T j e n t
dedicar	d e D i k a rf
estacion	e s t a T j o n
claus	k l aU s
tro	t rf o
descubrí	d e s k u b rf i+
dada	d a D a
desastros	d e s a s t rf o s
inero	i n e rf o
empie	e m p j e
olví	o l b i+
dese	d e s e
conj	k o ng x
procesar	p rf o T e s a rf
suficientes	s u f i s j e n t e s
disponibles	d i s p o n i b l e s
entré	e n t rf e+
barba	b a rf b a
coa	k o a
tuviste	t u b i s t e
rojos	r o x o s
finaliza	f i n a l i T a
laboratorio	l a b o rf a t o rf j o
accede	a k s e D e
continuo	k o n t i n w o
formar	f o rf m a rf
comunidad	k o m u n i D a
antiguas	a n t i G w a s
ayudó	aI u D o+
ivas	i b a s
logramos	l o G rf a m o s
sujeta	s u x e t a
estrictos	e s t rf i k t o s
carru	k a r u
reputación	r e p u t a s j o+ ng
visibilidad	b i s i b i l i D a
tomo	t o m o
juz	x u s
etiqueta	e t i k e t a
agust	a G u s t
entraron	e n t rf a rf o ng
empezaron	e m p e s a rf o ng
coordinar	k o rf D i n a rf
illo	i L o
óm	o+ m
variedades	b a rf j e D a D e s
cubrir	k u b rf i rf
carácter	k a rf a+ k t e rf
individuo	i n d i b i D w o
preocuparme	p rf e o k u p a rf m e
póliza	p o+ l i s a
creen	k rf e e ng
ajuste	a x u s t e
prede	p rf e D e
termin	t e rf m i n
vienen	b j e n e ng
vernos	b e rf n o s
decirnos	d e T i rf n o s
estuvo	e s t u b o
cruceros	k rf u s e rf o s
gro	G rf o
dici	d i s i
éndome	e+ n d o m e
simpático	s i m p a+ t i k o
acompañ	a k o m p a n~
hablamos	a b l a m o s
reforma	r e f o rf m a
cómplice	k o+ m p l i T e
entos	e n t o s
desha	d e s a
bili	b i l i
alimentación	a l i m e n t a s j o+ ng
asesino	a s e s i n o
ria	r j a
llegarán	L e G a rf a+ ng
previstos	p rf e b i s t o s
extender	e s t e n d e rf
ladrones	l a D rf o n e s
cerrados	s e r a D o s
xon	s tS o ng
copi	k o p i
lot	l o t
uga	u G a
béisbol	b e+ i z b o l
operaciones	o p e rf a T j o n e s
perdi	p e rf D i
transparente	t rf a n s p a rf e n t e
derivada	d e rf i b a D a
expansión	e k s p a ng s j o+ ng
inneces	i n n e T e s
determinadas	d e t e rf m i n a D a s
gestiones	x e s t j o n e s
rate	r a t e
suficientemente	s u f i s j e n t e m e n t e
fantástica	f a n t a+ s t i k a
elecciones	e l e k s j o n e s
catalanas	k a t a l a n a s
resur	r e s u rf
gir	x i rf
socialista	s o s j a l i s t a
ponerse	p o n e rf s e
clínica	k l i+ n i k a
robó	r o b o+
hablas	a b l a s
convencer	k o m V e n T e rf
ajedrez	a x e D rf e s
acogerse	a k o x e rf s e
inferiores	i n f e rf j o rf e s
libras	l i b rf a s
cumpl	k u m p l
ordena	o rf D e n a
desaf	d e s a f
dioses	d j o s e s
apoder	a p o D e rf
superiores	s u p e rf j o rf e s
grá	G rf a+
fica	f i k a
public	p u b l i k
onales	o n a l e s
temor	t e m o rf
masiva	m a s i b a
tejido	t e x i D o
empresarial	e m p rf e s a rf j a l
extran	e k s t rf a ng
jería	x e rf i+ a
lamento	l a m e n t o
indias	i n d j a s
prometido	p rf o m e t i D o
unir	u n i rf
vesti	b e s t i
gios	x j o s
explorar	e k s p l o rf a rf
profundos	p rf o f u n d o s
angustia	a ng g u s t j a
inund	i n u ng
pecho	p e tS o
acabamos	a k a b a m o s
ues	u e s
uros	u rf o s
estuviese	e s t u b j e s e
visitado	b i s i t a D o
dialo	d j a l o
diputados	d i p u t a D o s
delegaciones	d e l e G a T j o n e s
món	m o+ ng
educa	e D u k a
estadísticas	e s t a D i+ s t i k a s
suicidio	s w i T i D j o
hiciera	i T j e rf a
laro	l a rf o
pariente	p a rf j e n t e
funcional	f u n T j o n a l
llu	L u
sube	s w e
temas	t e m a s
contando	k o n t a n d o
quillo	k i L o
atrever	a t rf e b e rf
desal	d e s a l
escena	e s T e n a
recopila	r e k o p i l a
salvó	s a l b o+
calm	k a l m
abu	a b u
hospitalidad	o s p i t a l i D a
pidi	p i D i
ésemos	e+ s e m o s
pregúntale	p rf e G u+ n t a l e
consiguiente	k o ng s i g j e n t e
ng	e n e x e
estafa	e s t a f a
resfri	r e s f rf i
mínimos	m i+ n i m o s
conectada	k o n e k t a D a
atas	a t a s
velas	b e l a s
traeré	t rf a e rf e+
créeme	k rf e+ e m e
vueltas	b w e l t a s
guías	g i+ a s
tiendo	t j e n d o
alent	a l e n t
canal	k a n a l
quebran	k e b rf a ng
ancestros	a ng s e s t rf o s
pública	p u+ b l i k a
pib	p i b
listos	l i s t o s
quedarnos	k e D a rf n o s
tam	t a m
corredores	k o r e D o rf e s
localizado	l o k a l i s a D o
autobuses	aU t o b u s e s
querer	k e rf e rf
publicar	p u b l i k a rf
impresionado	i m p rf e s j o n a o
alidad	a l i D a
virtud	b i rf t u
arbol	a rf b o l
soporta	s o p o rf t a
aplicarán	a p l i k a rf a+ ng
homogén	o m o x e+ ng
ea	e a
ricas	r i k a s
vitaminas	b i t a m i n a s
minerales	m i n e rf a l e s
ácido	a+ s i D o
financiar	f i n a n T j a rf
murió	m u rf j o+
apo	a p o
film	f i l m
adoras	a D o rf a s
contesta	k o n t e s t a
ónicos	o+ n i k o s
fax	f a k s
producen	p rf o D u T e n
andar	a n d a rf
normales	n o rf m a l e s
eus	eU s
adi	a D i
descar	d e s k a rf
recesión	r e s e s j o+ ng
incendios	i ng s e n d j o s
generan	x e n e rf a ng
nubes	n u b e s
humo	u m o
circund	s i rf k u ng
escondido	e s k o n d i D o
luchas	l u tS a s
acabará	a k a b a rf a+
reuniones	r eU n j o n e s
gando	G a n d o
prestado	p rf e s t a o
incorrecto	i n k o r e k t o
sombras	s o m b rf a s
cultivar	k u l t i b a rf
tierras	t j e r a s
pagar	p a G a rf
seguiría	s e g i rf i+ a
rastro	r a s t rf o
artista	a rf t i s t a
gesto	x e s t o
costar	k o s t a rf
abandonó	a b a n d o n o+
esconde	e s k o n d e
perd	p e rf D
mutuo	m u t w o
vinieras	b i n j e rf a s
excesivo	e s T e s i b o
posterior	p o s t e rf j o rf
remedio	r e m e D j o
madres	m a D rf e s
vig	b i G
imo	i m o
pri	p rf i
mero	m e rf o
celebrarán	s e l e b rf a rf a+ ng
orquesta	o rf k e s t a
brasileña	b rf a s i l e n~ a
salvación	s a l b a s j o+ ng
sufrimiento	s u f rf i m j e n t o
acusado	a k u s a D o
botánico	b o t a+ n i k o
complementa	k o m p l e m e n t a
publici	p u b l i T i
establecido	e s t a b l e T i D o
radical	r a D i k a l
atre	a t rf e
iniciales	i n i T j a l e s
camisas	k a m i s a s
pañuelo	p a n~ w e l o
presenta	p rf e s e n t a
corbata	k o rf b a t a
serías	s e rf i+ a s
cometido	k o m e t i D o
encantaba	e ng k a n t a b a
ienda	j e n d a
grita	G rf i t a
afuera	a f w e rf a
terreno	t e r e n o
abandonado	a b a n d o n a D o
impi	i m p i
escucho	e s k u tS o
gritar	G rf i t a rf
intent	i n t e n t
contemp	k o n t e m p
pierdo	p j e rf D o
rein	r eI ng
enteré	e n t e rf e+
volví	b o l b i+
irlanda	i rf l a n d a
unido	u n i D o
neum	n eU m
onía	o n i+ a
criterios	k rf i t e rf j o s
sensibles	s e n s i b l e s
reacción	r e a k s j o+ ng
emocional	e m o s j o n a l
jamón	x a m o+ ng
maldi	m a l d i
bebida	b e b i D a
podéis	p o D e+ i s
aburrido	a b u r i D o
tim	t i m
tapa	t a p a
ólogos	o+ l o G o s
ógrafo	o+ G rf a f o
deportistas	d e p o rf t i s t a s
rara	r a rf a
periodicidad	p e rf j o D i s i D a
destr	d e s t rf
cum	k u m
retirado	r e t i rf a o
ló	l o+
anillo	a n i L o
sonrisa	s o ng r i s a
aprobó	a p rf o b o+
madrid	m a D rf i
navegar	n a b e G a rf
mand	m a ng
aho	a o
gobernador	G o b e rf n a D o rf
secuestro	s e k w e s t rf o
encontrarme	e ng k o n t rf a rf m e
competencias	k o m p e t e n T j a s
contará	k o n t a rf a+
poderes	p o D e rf e s
excepcionales	e s T e p T j o n a l e s
tramos	t rf a m o s
grab	G rf a b
dic	d i k
igualdad	i G w a l d a
cuarentena	k w a rf e n t e n a
repro	r e p rf o
ald	a l
ego	e G o
ísmo	i+ z m o
limitado	l i m i t a D o
ordenado	o rf D e n a o
expe	e s p e
helado	e l a D o
cuantas	k w a n t a s
boca	b o k a
dragón	d rf a G o+ ng
rón	r o+ ng
transforma	t rf a ng s f o rf m a
gentes	x e n t e s
osos	o s o s
disturbios	d i s t u rf b j o s
raciales	r a s j a l e s
besar	b e s a rf
obligar	o b l i G a rf
labora	l a b o rf a
excedencia	e s T e D e n T j a
sand	s a n D
andré	a n d rf e+
estall	e s t a L
revolución	r e b o l u s j o+ ng
diplomáticos	d i p l o m a+ t i k o s
pasadas	p a s a D a s
únicos	u+ n i k o s
abon	a b o ng
represent	r e p rf e s e n t
dominios	d o m i n j o s
pagado	p a G a D o
tráeme	t rf a+ e m e
anuncio	a n u n T j o
instrucciones	i n s t rf u s j o n e s
beneficios	b e n e f i T j o s
decidimos	d e T i D i m o s
ofrecieron	o f rf e T j e rf o n
funcionarios	f u n T j o n a rf j o s
admis	a D m i s
iones	j o n e s
masa	m a s a
pienses	p j e n s e s
tranquiliz	t rf a n k i l i T
regreso	r e G rf e s o
médicos	m e+ D i k o s
caminar	k a m i n a rf
ronda	r o n d a
equipaje	e k i p a x e
código	k o+ D i G o
tos	t o s
descuento	d e s k w e n t o
deseas	d e s e a s
enamorado	e n a m o rf a o
musicales	m u s i k a l e s
inspirado	i ng s p i rf a D o
fortaleza	f o rf t a l e T a
debilidad	d e b i l i D a
pondremos	p o n d rf e m o s
ambientes	a m b j e n t e s
lon	l o ng
enses	e n s e s
textil	t e s t i l
farmacéuticos	f a rf m a s e+ u t i k o s
químicos	k i+ m i k o s
anza	a n T a
imagina	i m a x i n a
nocturno	n o k t u rf n o
alternativo	a l t e rf n a t i b o
volvi	b o l b i
éndose	e+ n d o s e
fino	f i n o
ciru	s i rf u
auténtico	aU t e+ n t i k o
ém	e+ m
mostrar	m o s t rf a rf
astuto	a s t u t o
arroz	a r o s
transport	t rf a ng s p o rf t
manteniendo	m a n t e n j e n d o
órdenes	o+ rf D e n e s
respe	r e s p e
despacio	d e s p a T j o
cuarta	k w a rf t a
vais	b aI s
elevado	e l e b a D o
encargado	e ng k a rf G a D o
botín	b o t i+ ng
identi	i D e n t i
cadáver	k a D a+ b e rf
rebec	r e b e k
estupidez	e s t u p i D e s
debí	d e b i+
moviendo	m o b j e n d o
lágrimas	l a+ G rf i m a s
ancho	a n tS o
cimientos	T i m j e n t o s
poste	p o s t e
profundidad	p rf o f u n d i D a
desconoce	d e s k o n o T e
semilla	s e m i L a
ambición	a m b i s j o+ ng
informado	i n f o rf m a o
víctimas	b i+ k t i m a s
importación	i m p o rf t a T j o+ n
prestando	p rf e s t a n d o
recibidas	r e s i b i D a s
preocupaciones	p rf e o k u p a s j o n e s
dobl	d o b l
invernadero	i m V e rf n a D e rf o
marcas	m a rf k a s
popularidad	p o p u l a rf i D a
isl	i z l
milí	m i l i+
métodos	m e+ t o D o s
nací	n a T i+
lanzar	l a n T a rf
dinam	d i n a m
cumplen	k u m p l e ng
normativa	n o rf m a t i b a
abst	a b s t
iene	j e n e
afirmar	a f i rf m a rf
retener	r e t e n e rf
pieza	p j e s a
dejaría	d e x a rf i+ a
aquel	a k e l
trom	t rf o m
peta	p e t a
comido	k o m i D o
descansa	d e s k a ng s a
innovación	i n n o b a s j o+ ng
signos	s i G n o s
prendas	p rf e n d a s
grues	G rf w e s
pág	p a+ g
uele	w e l e
firme	f i rf m e
recibo	r e T i b o
comesti	k o m e s t i
perú	p e rf u+
reunirá	r eU n i rf a+
entrará	e n t rf a rf a+
aust	aU s t
lich	l i tS
estanque	e s t a n k e
ard	a rf
inadas	i n a D a s
desean	d e s e a ng
lim	l i m
onada	o n a D a
ide	i D e
representada	r e p rf e s e n t a D a
cortada	k o rf t a D a
ora	o rf a
servía	s e rf b i+ a
alberga	a l b e rf G a
pondrá	p o n d rf a+
capacidades	k a p a T i D a D e s
distra	d i s t rf a
memor	m e m o rf
amplia	a m p l j a
autonomía	aU t o n o m i+ a
vol	b o l
minería	m i n e rf i+ a
expresa	e k s p rf e s a
agradecimiento	a G rf a D e T i m j e n t o
